title,url,rating,sum_ecv
Lasagnes Végétariennes,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes_18059.aspx,3.7,0.21846700000000002
Ragoût végétarien de navets et pommes de terre,https://www.marmiton.org/recettes/recette_ragout-de-navets_312471.aspx,2,0.479811
Pâté végétal au soja et champignons,https://www.marmiton.org/recettes/recette_pate-vegetal-au-soja-et-champignons_26318.aspx,2,0.225361
Gâteau au citron végétalien et sans gluten,https://www.marmiton.org/recettes/recette_gateau-au-citron-vegetalien-et-sans-gluten_173730.aspx,2,0.151094
"Gaufres végétariennes (sans lait, ni crème, ni beurre)",https://www.marmiton.org/recettes/recette_gaufres-vegetariennes-sans-lait-ni-creme-ni-beurre_43373.aspx,3.6,0.225361
Aubergines farcies végétarienne,https://www.marmiton.org/recettes/recette_aubergines-farcies-vegetarienne_48764.aspx,3.5,0.720275
Pâté végétarien,https://www.marmiton.org/recettes/recette_pate-vegetarien_38266.aspx,3.6,0.45770299999999997
Petits farçis à la provençale végétariens,https://www.marmiton.org/recettes/recette_petits-farcis-a-la-provencale-vegetariens_39955.aspx,1,2.514573
Quiche végètarienne carotte chou-blanc,https://www.marmiton.org/recettes/recette_quiche-vegetarienne-carotte-chou-blanc_330903.aspx,1,0.734108
Steaks végétariens,https://www.marmiton.org/recettes/recette_steaks-vegetariens_13685.aspx,3.4,0.352127
Madeleines au citron végétaliennes,https://www.marmiton.org/recettes/recette_madeleines-au-citron-vegetaliennes_173722.aspx,2.7,0.353037
Boulette à la carotte végétarienne,https://www.marmiton.org/recettes/recette_boulette-a-la-carotte-vegetarienne_528134.aspx,2,0.2376
Samossa végétarien aux légumes fondants,https://www.marmiton.org/recettes/recette_samossa-vegetarien-aux-legumes-fondants_173058.aspx,2,0.124627
Pasta végétariennes aux épinards,https://www.marmiton.org/recettes/recette_pasta-vegetariennes-aux-epinards_62151.aspx,2.8,0.408195
Millefeuille de brique végétarien,https://www.marmiton.org/recettes/recette_millefeuille-de-brique-vegetarien_53248.aspx,3.5,0.812294
Gratin d'automne végétalien,https://www.marmiton.org/recettes/recette_gratin-d-automne-vegetalien_336427.aspx,3.4,1.472755
Couscous végétarien au Thermomix,https://www.marmiton.org/recettes/recette_couscous-vegetarien-au-thermomix_538503.aspx,0,0.460832
Moussaka végétarienne savoureuse et légère au Airfryer,https://www.marmiton.org/recettes/recette_moussaka-vegetarienne-savoureuse-et-legere-au-airfryer_538065.aspx,0,4.853916
Lasagne végétarienne au Thermomix,https://www.marmiton.org/recettes/recette_lasagne-vegetarienne-au-thermomix_359523.aspx,0,0.09384
Bouchées à la reine végétariennes champignon/poivron,https://www.marmiton.org/recettes/recette_bouchees-a-la-reine-vegetariennes-champignon-poivron_329437.aspx,0,0.158267
scotch eggs végétariens,https://www.marmiton.org/recettes/recette_scotch-eggs-vegetariens_534746.aspx,0,0.450722
Bortsch végétarien,https://www.marmiton.org/recettes/recette_borsch-vegetarien_533992.aspx,0,0.714642
Donuts vanille-fraise au four (recette végétale),https://www.marmiton.org/recettes/recette_donuts-vanille-fraise-au-four-recette-vegetale-talent-marmiton_531156.aspx,0,1.89473
Burger Végétarien au Butternut,https://www.marmiton.org/recettes/recette_burger-vegetarien-au-butternut_530444.aspx,0,0.8685670000000001
Galettes végétariennes pour burger,https://www.marmiton.org/recettes/recette_galettes-vegetariennes-pour-burger_528333.aspx,0,0.373886
Pâté en croûte végétarien,https://www.marmiton.org/recettes/recette_pate-en-croute-vegetarien_528291.aspx,0,1.062454
Kig ha farz végétarien,https://www.marmiton.org/recettes/recette_kig-ha-farz-vegetarien_528015.aspx,0,1.033535
Curry de courgettes végétarien,https://www.marmiton.org/recettes/recette_curry-de-courgettes-vegetarien_392608.aspx,0,3.26814
Gratin végétarien pommes de terre courgettes,https://www.marmiton.org/recettes/recette_gratin-vegetarien-pommes-de-terre-courgettes_391469.aspx,0,0.554085
Lasagnes végétariennes aux blettes,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-aux-blettes_383540.aspx,0,1.4139430000000002
Burger végétarien aux pois chiches et haricots rouges,https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-pois-chiches-et-haricots-rouges_348679.aspx,0,0.65688
Pizza végétarienne revisitée de Little Floflo,https://www.marmiton.org/recettes/recette_pizza-vegetarienne_347172.aspx,0,4.476795
gloubi boulga végétarien au soja,https://www.marmiton.org/recettes/recette_gloubi-boulga-vegetarien-au-soja_344280.aspx,0,0.099017
Tarte végétarienne Coupe Vannina,https://www.marmiton.org/recettes/recette_tarte-vegetarienne-coupe-vannina_326028.aspx,0,0.462669
Pizza végétarienne blanche,https://www.marmiton.org/recettes/recette_pizza-vegetarienne-blanche_310028.aspx,0,4.072322
Nems végétariens sésame coriandre,https://www.marmiton.org/recettes/recette_nems-vegetariens-sesame-coriandre_229470.aspx,0,2.014586
Crostinnis chaud/froid végétarien,https://www.marmiton.org/recettes/recette_crostinnis-chaud-froid-vegetarien_91308.aspx,0,0.18768
Galettes végétaliennes à l'avoine,https://www.marmiton.org/recettes/recette_galettes-vegetaliennes-a-l-avoine_86781.aspx,0,0.099017
cake végétarien au tofu,https://www.marmiton.org/recettes/recette_cake-vegetarien-au-tofu_85868.aspx,0,0.48365199999999997
Flan de spaghetti végétal,https://www.marmiton.org/recettes/recette_flan-de-spaghetti-vegetal_82400.aspx,0,0.563403
carpaccio végétarien aux courgettes,https://www.marmiton.org/recettes/recette_carpaccio-vegetarien-aux-courgettes_73858.aspx,0,0.38708
